taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2909863	Hedyotis stylosa R.Br. ex G.Don	2909860	Hedyotis leschenaultiana DC.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Hedyotis	9631866	Hedyotis leschenaultiana	2909860	NE
2915796	Exallage rigida (Blume) Bremek.	2915791	Hedyotis rigida (Blume) Walp.	10	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Hedyotis	9631866	Hedyotis rigida	2915791	NE
2918005	Acranthera Arn. ex Meisn.	2918005	Acranthera Arn. ex Meisn.	21	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Acranthera	2918005			NE
2946858	Physostigma Balf.	2946858	Physostigma Balf.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Physostigma	2946858			NE
2952416	Anthyllis L.	2952416	Anthyllis L.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Anthyllis	2952416			NE
2983919	Cathormion umbellatum subsp. moniliforme (DC.) Brummitt	2983919	Cathormion umbellatum subsp. moniliforme (DC.) Brummitt	22	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Cathormion	2983917	Cathormion umbellatum	2983918	
3037988	Schefflera littoralis (Miq.) Harms	3037991	Heptapleurum littorale (Miq.) Boerl.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Araliaceae	8800	Heptapleurum	7314503	Heptapleurum littorale	3037991	NE
3062771	Rottlera oppositifolia Blume	5378797	Mallotus blumeanus Müll.Arg.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Mallotus	3062330	Mallotus blumeanus	5378797	NE
3074040	Macaranga longistipulata (Kurz ex Teijsm. & Binn.) Müll.Arg.	3074040	Macaranga longistipulata (Kurz ex Teijsm. & Binn.) Müll.Arg.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Macaranga	3073879	Macaranga longistipulata	3074040	NE
3075780	Drypetes mucronata C.Wright ex Griseb.	3075780	Drypetes mucronata C.Wright ex Griseb.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Putranjivaceae	8808	Drypetes	3075615	Drypetes mucronata	3075780	EN
3080126	Glochidion lanceolarium (Roxb.) Voigt	3080126	Glochidion lanceolarium (Roxb.) Voigt	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Phyllanthaceae	8807	Glochidion	3080069	Glochidion lanceolarium	3080126	NE
3081550	Cleistanthus pseudopallidus Jabl.	3081550	Cleistanthus pseudopallidus Jabl.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Phyllanthaceae	8807	Cleistanthus	3081487	Cleistanthus pseudopallidus	3081550	NE
3082069	Baccaurea bracteata Müll.Arg.	3082069	Baccaurea bracteata Müll.Arg.	45	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Phyllanthaceae	8807	Baccaurea	3070795	Baccaurea bracteata	3082069	NE
3082085	Baccaurea rostrata Merr.	3082081	Baccaurea parviflora (Müll.Arg.) Müll.Arg.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Phyllanthaceae	8807	Baccaurea	3070795	Baccaurea parviflora	3082081	NE
